Raw Score,Scaled Score
44,40.0
43,36.0
42,35.0
41,34.0
40,33.0
39,32.0
38,31.0
37,30.0
36,29.0
35,29.0
34,28.0
33,27.0
32,28.0
31,26.0
30,26.0
29,26.0
28,25.0
27,24.0
26,24.0
25,23.0
24,23.0
23,22.0
22,22.0
21,21.0
20,21.0
19,20.0
18,20.0
17,19.0
16,19.0
15,18.0
14,18.0
13,17.0
12,17.0
11,16.0
10,16.0
9,15.0
8,15.0
7,14.0
6,13.0
5,12.0
4,11.0
3,11.0
2,10.0
1,10.0
0,10.0
